term_id,query,f1,precision,recall,n_pos,n_neg,q_len,has_brand,main_cat,f1_bin
TERM_00574954,erkek bebek şişme yelek,1.0,1.0,1.0,1,5,4,False,giyim,0.9
TERM_0057f871,erkek bornoz,0.9244943362260755,1.0,0.7719298245614035,57,285,2,False,ev & mobilya,0.9
TERM_005c15fe,porselen salata tabağı,1.0,1.0,1.0,7,35,3,False,ev & mobilya,0.9
TERM_005e5987,saç yumuşatıcı,1.0,1.0,1.0,6,30,2,False,kozmetik & kişisel bakım,0.9
TERM_005e6054,jacket,1.0,1.0,1.0,3,15,1,False,giyim,0.9
TERM_00616ee9,salon tv ünitesi,1.0,1.0,1.0,15,75,3,False,ev & mobilya,0.9
TERM_0067f134,paten ayakkabı,0.9579392455769444,0.9090909090909091,0.9523809523809523,21,105,2,False,spor & outdoor,0.9
TERM_006d25c9,elis,0.71875,1.0,0.3333333333333333,3,15,1,True,ayakkabı,0.7
TERM_006fb101,bonna porselen,1.0,1.0,1.0,74,370,2,True,ev & mobilya,0.9
TERM_00712cf9,yaya by hotiç babet,0.934640522875817,1.0,0.8,5,25,4,True,ayakkabı,0.9
TERM_0072501e,korkmaz granit tava,1.0,1.0,1.0,5,25,3,True,ev & mobilya,0.9
TERM_007551ad,kadın kışlık bot,0.9854352098023349,1.0,0.9523809523809523,21,105,3,False,ayakkabı,0.9
TERM_0075a532,tavan köpüğü,1.0,1.0,1.0,17,85,2,False,banyo yapı & hırdavat,0.9
TERM_0078440f,bebek lastikli çarşaf,1.0,1.0,1.0,25,125,3,False,ev & mobilya,0.9
TERM_0078a646,aula f75,1.0,1.0,1.0,2,10,2,True,elektronik,0.9
TERM_007a161f,nespresso espresso & cappuccino makinesi,1.0,1.0,1.0,5,25,5,True,elektronik,0.9
TERM_007c3f50,english home alez,1.0,1.0,1.0,1,5,3,True,ev & mobilya,0.9
TERM_007e09b0,kesme tahtası,0.9965477330779055,0.9885714285714285,1.0,173,865,2,False,ev & mobilya,0.9
TERM_0084e8af,alcatel tablet kılıfı,1.0,1.0,1.0,4,20,3,True,elektronik,0.9
TERM_008ee0b1,porselen kaşıklık,1.0,1.0,1.0,1,5,2,False,aksesuar,0.9
TERM_00913fee,p9 kulaklık,1.0,1.0,1.0,6,30,2,False,elektronik,0.9
TERM_00920ed4,nevresim çift,1.0,1.0,1.0,7,35,2,False,ev & mobilya,0.9
TERM_0094b267,kaydırak,1.0,1.0,1.0,26,130,1,False,anne & bebek & çocuk,0.9
TERM_0094f94d,koton parfüm,1.0,1.0,1.0,22,110,2,True,kozmetik & kişisel bakım,0.9
TERM_00978bc9,salyangoz ilacı,1.0,1.0,1.0,1,5,2,False,süpermarket,0.9
TERM_009a3980,masa sandalyesi,1.0,1.0,1.0,2,10,2,False,ev & mobilya,0.9
TERM_009f7397,husqvarna budama testeresi,1.0,1.0,1.0,2,10,3,True,bahçe & elektrikli el aletleri,0.9
TERM_00a1b05d,gümüş tektaş,1.0,1.0,1.0,3,15,2,False,aksesuar,0.9
TERM_00aa9ff1,effe yapi dekor ayna,1.0,1.0,1.0,18,90,4,True,ev & mobilya,0.9
TERM_00aae287,lilac home yapay çiçek,1.0,1.0,1.0,10,50,4,True,ev & mobilya,0.9
TERM_00ab9445,büyük beden sweatshirt,0.9736737136019147,0.9166666666666666,1.0,22,110,3,False,giyim,0.9
TERM_00b3bf3f,beyaz düz taban spor ayakkabı,0.9443413729128014,0.8333333333333334,1.0,10,50,5,False,ayakkabı,0.9
TERM_00b7fd71,bavul çanta,1.0,1.0,1.0,19,95,2,False,aksesuar,0.9
TERM_00bb3ec7,crop bomber ceket,0.9530638852672751,0.8571428571428571,1.0,6,30,3,False,giyim,0.9
TERM_00c63224,erkek çocuk spor ayakkabısı,1.0,1.0,1.0,1,5,4,False,ayakkabı,0.9
TERM_00c6914c,kız bebek babet ayakkabı,0.9025763152197446,0.8125,0.8666666666666667,15,75,4,False,ayakkabı,0.9
TERM_00c881c1,bakır kahvaltı seti,1.0,1.0,1.0,9,45,3,False,ev & mobilya,0.9
TERM_00d059af,mutfak dekorasyon,0.9680662329982259,0.9,1.0,18,90,2,False,ev & mobilya,0.9
TERM_00d5810a,schafer türk kahve makinesi,1.0,1.0,1.0,3,15,4,True,elektronik,0.9
TERM_00d68971,sürgülü dolap,1.0,1.0,1.0,19,95,2,False,ev & mobilya,0.9
TERM_00d8eb08,buharlı el ütüsü,1.0,1.0,1.0,12,60,3,False,elektronik,0.9
TERM_00e02e53,earpods,1.0,1.0,1.0,2,10,1,False,elektronik,0.9
TERM_00e3f244,karaca düdüklü tencere,1.0,1.0,1.0,2,10,3,True,ev & mobilya,0.9
TERM_00e422af,silk home şal,0.9915727049276267,1.0,0.9722222222222222,36,180,3,True,giyim,0.9
TERM_00e74067,inci şerit,1.0,1.0,1.0,12,60,2,False,hobi & eğlence,0.9
TERM_00eab0fe,strafor,0.9357142857142857,0.8928571428571429,0.8928571428571429,28,140,1,False,hobi & eğlence,0.9
TERM_00eb1e33,sivri burun çizme,1.0,1.0,1.0,4,20,3,False,ayakkabı,0.9
TERM_00eed81d,beşiktaş poster,1.0,1.0,1.0,1,5,2,False,ev & mobilya,0.9
TERM_00ef91a2,beşiktaş tablo,1.0,1.0,1.0,3,15,2,False,ev & mobilya,0.9
TERM_00f547c8,tesettür sandy takım,0.9877038681581419,0.96,1.0,24,120,3,False,giyim,0.9
TERM_00f894be,kart okuyucu,1.0,1.0,1.0,8,40,2,False,elektronik,0.9
TERM_00fa0b83,his taşı,1.0,1.0,1.0,2,10,2,False,aksesuar,0.9
TERM_01019813,anlas,0.6457357075913777,1.0,0.2222222222222222,9,45,1,True,otomobil & motosiklet,0.5
TERM_01020c6e,yataş yatak örtüsü,1.0,1.0,1.0,4,20,3,True,ev & mobilya,0.9
TERM_01042358,flormar kaş kalemi & kaş farı,1.0,1.0,1.0,4,20,6,True,kozmetik & kişisel bakım,0.9
TERM_010978e7,napapijri,0.9443413729128014,0.8333333333333334,1.0,40,200,1,True,giyim,0.9
TERM_010b17df,amazfit,1.0,1.0,1.0,2,10,1,True,elektronik,0.9
TERM_010e2fe5,akıllı vida,1.0,1.0,1.0,8,40,2,False,banyo yapı & hırdavat,0.9
TERM_010ec01d,avene cica,1.0,1.0,1.0,1,5,2,True,ev & mobilya,0.9
TERM_01143f3b,yumak ip,1.0,1.0,1.0,5,25,2,False,hobi & eğlence,0.9
TERM_0118569e,büyük hediye kutusu,0.9163763066202091,1.0,0.75,8,40,3,False,hobi & eğlence,0.9
TERM_011f4b02,clin,1.0,1.0,1.0,2,10,1,True,süpermarket,0.9
TERM_0121f913,uno oyunu,0.8,0.6666666666666666,0.6666666666666666,3,15,2,True,anne & bebek & çocuk,0.7
TERM_01264562,yuvarlak ayna,0.9668906968517863,0.896551724137931,1.0,26,130,2,True,ev & mobilya,0.9
TERM_01288cda,köpek iç parazit,1.0,1.0,1.0,2,10,3,False,süpermarket,0.9
TERM_012c6906,vivense çok amaçlı dolap,1.0,1.0,1.0,4,20,4,True,ev & mobilya,0.9
TERM_012eeca4,tütü,1.0,1.0,1.0,3,15,1,False,giyim,0.9
TERM_01312185,kız çocuk dar elbise,1.0,1.0,1.0,1,5,4,False,giyim,0.9
TERM_01312dc7,pierre cardin eşarp,0.9915250817224263,0.9722222222222222,1.0,35,175,3,True,giyim,0.9
TERM_01388985,mantar tuzluk,1.0,1.0,1.0,1,5,2,False,ev & mobilya,0.9
TERM_013f156e,remington keratin saç düzleştirici,1.0,1.0,1.0,1,5,4,True,elektronik,0.9
TERM_01452ccd,arctic hunter,1.0,1.0,1.0,4,20,2,True,aksesuar,0.9
TERM_01513f16,green clean,0.8136645962732919,0.5555555555555556,1.0,30,150,2,True,süpermarket,0.7
TERM_01538657,ford fiesta direksiyon kılıfı,1.0,1.0,1.0,6,30,4,False,otomobil & motosiklet,0.9
TERM_015779b6,poco pad,1.0,1.0,1.0,1,5,2,True,elektronik,0.9
TERM_01659650,bijuteri küpe,0.9793658497369369,0.943069306930693,0.9896103896103896,385,1925,2,False,aksesuar,0.9
TERM_016df0cc,fb forma,0.9604938271604938,1.0,0.875,8,40,2,False,giyim,0.9
TERM_0170f812,koltuk şalı,0.9939270000619694,0.98,1.0,49,245,2,False,ev & mobilya,0.9
TERM_017352ee,avene cleanance,0.8838709677419355,1.0,0.6666666666666666,3,15,2,True,kozmetik & kişisel bakım,0.7
TERM_0175d255,kokusuz küllük,0.9619932432432432,0.8823529411764706,1.0,15,75,2,False,ev & mobilya,0.9
TERM_0175eeb8,bosch doğrayıcı,1.0,1.0,1.0,4,20,2,True,elektronik,0.9
TERM_0177b506,pufwin home makyaj organizerı,1.0,1.0,1.0,7,35,4,True,ev & mobilya,0.9
TERM_017b8205,çekiç,1.0,1.0,1.0,6,30,1,False,banyo yapı & hırdavat,0.9
TERM_017d3241,kadife kırlent kılıfı,0.8736842105263158,0.6666666666666666,1.0,2,10,3,False,ev & mobilya,0.7
TERM_01844fe7,termal kamera,1.0,1.0,1.0,6,30,2,False,bahçe & elektrikli el aletleri,0.9
TERM_01873f1e,tek kişilik yatak örtüsü seti,1.0,1.0,1.0,7,35,5,False,ev & mobilya,0.9
TERM_01875daf,wifi sinyal güçlendirici,1.0,1.0,1.0,5,25,3,False,elektronik,0.9
TERM_018b52f4,geniş kot pantolon,0.9716859716859716,1.0,0.9090909090909091,11,55,3,False,giyim,0.9
TERM_018d782d,bayram meral,1.0,1.0,1.0,4,20,2,False,kitap,0.9
TERM_018ec931,erkek kaşe,0.934640522875817,1.0,0.8,15,75,2,False,giyim,0.9
TERM_01905321,masa örtüsü kumaşı,0.9761832061068703,1.0,0.9230769230769231,13,65,3,False,hobi & eğlence,0.9
TERM_01909491,erkek çocuk gecelik,1.0,1.0,1.0,1,5,3,False,giyim,0.9
TERM_0191994f,345 start,0.45454545454545453,0.0,0.0,1,5,2,False,kitap,0.3
TERM_01963142,çocuk montu,0.9564228790922538,0.9,0.9574468085106383,47,235,2,False,giyim,0.9
TERM_01997780,caudalie cilt bakım seti,1.0,1.0,1.0,4,20,4,True,kozmetik & kişisel bakım,0.9
TERM_019d6a7d,tamer tanca kadın çanta,1.0,1.0,1.0,16,80,4,True,aksesuar,0.9
TERM_019ea503,kadın kısa kaşe ceket,1.0,1.0,1.0,14,70,4,False,giyim,0.9
TERM_01a1c363,samsung a56 5g,1.0,1.0,1.0,1,5,3,True,elektronik,0.9
TERM_01a49b17,et kıyma makinası,1.0,1.0,1.0,17,85,3,False,elektronik,0.9
TERM_01a921cb,arow bardak,1.0,1.0,1.0,2,10,2,True,ev & mobilya,0.9
TERM_01aa94e9,benzinli motosiklet,0.9817038307604345,0.9411764705882353,1.0,32,160,2,False,otomobil & motosiklet,0.9
TERM_01aef776,wet n wild,1.0,1.0,1.0,27,135,3,True,kozmetik & kişisel bakım,0.9
TERM_01b0fff8,deri runner,1.0,1.0,1.0,1,5,2,False,ev & mobilya,0.9
TERM_01b1c867,paw patrol karakter figür oyuncak,1.0,1.0,1.0,4,20,5,True,anne & bebek & çocuk,0.9
TERM_01b2d23a,sütaş tereyağ,1.0,1.0,1.0,3,15,2,True,süpermarket,0.9
TERM_01b71c5c,pull bear kadın spor ayakkabı,1.0,1.0,1.0,2,10,5,False,ayakkabı,0.9
TERM_01bc7090,arçelik mikser & mikser seti,1.0,1.0,1.0,2,10,5,True,elektronik,0.9
TERM_01c07fa1,tecno akıllı saat,0.8736842105263158,0.6666666666666666,1.0,2,10,3,True,elektronik,0.7
TERM_01c3338c,duvar askı,0.915057915057915,0.9,0.8181818181818182,11,55,2,False,ev & mobilya,0.9
TERM_01cb4f0d,osmanlı,0.934640522875817,1.0,0.8,5,25,1,False,ev & mobilya,0.9
TERM_01cc31f3,bakraç,0.9867243867243867,1.0,0.9565217391304348,23,115,1,False,ev & mobilya,0.9
TERM_01cfba79,puma easy rider ayakkabı,1.0,1.0,1.0,2,10,4,True,ayakkabı,0.9
TERM_01d56037,erkek cüzdan kemer,0.8736842105263158,0.6666666666666666,1.0,2,10,3,False,aksesuar,0.7
TERM_01d93872,ferrucci kadın saat,0.9770338783869993,0.926829268292683,1.0,38,190,3,True,aksesuar,0.9
TERM_01de3d1c,gigabyte,1.0,1.0,1.0,7,35,1,True,elektronik,0.9
TERM_01e67ee0,nilem,0.9530638852672751,0.8571428571428571,1.0,6,30,1,True,süpermarket,0.9
TERM_01e8e0bf,puf koltuk,0.993534331295242,0.9787234042553191,1.0,46,230,2,False,ev & mobilya,0.9
TERM_01effb8d,ekol on triko,1.0,1.0,1.0,2,10,3,True,giyim,0.9
TERM_01f0fe6c,revox şampuan,1.0,1.0,1.0,6,30,2,True,kozmetik & kişisel bakım,0.9
TERM_01f1f93f,ahşap değirmen,1.0,1.0,1.0,10,50,2,False,ev & mobilya,0.9
TERM_01f3d06f,ucuz takı,1.0,1.0,1.0,2,10,2,False,aksesuar,0.9
TERM_01f67651,çocuk ojesi,1.0,1.0,1.0,11,55,2,False,kozmetik & kişisel bakım,0.9
TERM_01f825b5,nobbystar,0.8175438596491228,0.5925925925925926,0.8888888888888888,18,90,1,True,ev & mobilya,0.7
TERM_01fcf9f9,gömme spot,1.0,1.0,1.0,6,30,2,False,banyo yapı & hırdavat,0.9
TERM_01ff2f78,kadın şişme yelek,0.9866666666666666,0.9777777777777777,0.9777777777777777,90,450,3,False,giyim,0.9
TERM_02044a6c,plastik kase,0.9817038307604345,0.9411764705882353,1.0,16,80,2,False,ev & mobilya,0.9
TERM_0205e530,gta5,1.0,1.0,1.0,2,10,1,False,elektronik,0.9
TERM_0207161a,duş borusu,1.0,1.0,1.0,1,5,2,False,banyo yapı & hırdavat,0.9
TERM_02092b03,kapaklı saç kavurma tavası,1.0,1.0,1.0,5,25,4,False,ev & mobilya,0.9
TERM_020dccfb,külçe altın kolye ucu,1.0,1.0,1.0,6,30,4,False,aksesuar,0.9
TERM_0212a12b,the purest solutions cilt serumu,1.0,1.0,1.0,1,5,5,True,kozmetik & kişisel bakım,0.9
TERM_0216e0e4,coconut,0.9761832061068703,1.0,0.9230769230769231,13,65,1,False,kozmetik & kişisel bakım,0.9
TERM_02183775,karcher sc 4,0.45454545454545453,0.0,0.0,1,5,3,True,elektronik,0.3
TERM_021c96d0,limonlu tabak,1.0,1.0,1.0,2,10,2,False,ev & mobilya,0.9
TERM_021ced94,u.s. polo assn. eşofman altı,1.0,1.0,1.0,30,150,5,True,giyim,0.9
TERM_021f0515,banyo duvar rafı,0.9518999518999518,0.8787878787878788,0.9666666666666667,30,150,3,False,ev & mobilya,0.9
TERM_022cb4f2,malzeme dolabı,1.0,1.0,1.0,3,15,2,False,ev & mobilya,0.9
TERM_022d60ec,nivea cilt bakım seti,1.0,1.0,1.0,11,55,4,True,kozmetik & kişisel bakım,0.9
TERM_022e46ed,enjoy tavuklu yetişkin kedi maması 15 kg,1.0,1.0,1.0,1,5,7,True,süpermarket,0.9
TERM_022f23b9,3 bölmeli tabak,1.0,1.0,1.0,4,20,3,False,ev & mobilya,0.9
TERM_0237396f,şarjlı ilaçlama makinesi,0.983693190397101,0.9473684210526315,1.0,18,90,3,False,bahçe & elektrikli el aletleri,0.9
TERM_02393e90,macbook çanta,0.9642591213700671,0.8888888888888888,1.0,8,40,2,False,aksesuar,0.9
TERM_023ee2f7,su yolu,1.0,1.0,1.0,7,35,2,False,aksesuar,0.9
TERM_0240aaf1,koton omuz çantası,1.0,1.0,1.0,7,35,3,True,aksesuar,0.9
TERM_02433572,kiwi baharat öğütücü,1.0,1.0,1.0,1,5,3,True,ev & mobilya,0.9
TERM_0249977b,açılabilir kolye,1.0,1.0,1.0,9,45,2,False,aksesuar,0.9
TERM_024cdda0,plastik kaşık seti,1.0,1.0,1.0,1,5,3,False,ev & mobilya,0.9
TERM_024d5508,mizuno dizlik,1.0,1.0,1.0,1,5,2,True,ev & mobilya,0.9
TERM_024d8d80,iş ayakkabıları,0.8736842105263158,0.6666666666666666,1.0,2,10,2,False,banyo yapı & hırdavat,0.7
TERM_024f14db,altınyıldız classics polo yaka t-shirt,1.0,1.0,1.0,7,35,5,False,giyim,0.9
TERM_02500f71,leopar desenli çift kişilik nevresim takımı,1.0,1.0,1.0,6,30,6,False,ev & mobilya,0.9
TERM_0254c15e,viks krem,1.0,1.0,1.0,1,5,2,False,kozmetik & kişisel bakım,0.9
TERM_0254e588,kaymaz koltuk örtüsü,0.9941633127968413,0.9807692307692307,1.0,51,255,3,False,ev & mobilya,0.9
TERM_025a04eb,oto yan ayna,1.0,1.0,1.0,1,5,3,False,otomobil & motosiklet,0.9
TERM_025a09e6,erkek saat modelleri,1.0,1.0,1.0,10,50,3,False,aksesuar,0.9
TERM_025e3254,elika silver gümüş küpe,1.0,1.0,1.0,14,70,4,True,aksesuar,0.9
TERM_025f2d79,school panda,1.0,1.0,1.0,1,5,2,False,aksesuar,0.9
TERM_026164f3,kaz tüyü mont,0.9879508196721312,0.9607843137254902,1.0,49,245,3,False,giyim,0.9
TERM_0264a1ab,skechers outdoor ayakkabı,0.9594202898550726,0.875,1.0,7,35,3,True,ayakkabı,0.9
TERM_026ce46a,protein tozu seti,1.0,1.0,1.0,1,5,3,False,ayakkabı,0.9
TERM_026f6bea,lancome la nuit,1.0,1.0,1.0,1,5,3,True,kozmetik & kişisel bakım,0.9
TERM_02714707,yuka atelier omuz çantası,1.0,1.0,1.0,7,35,4,True,aksesuar,0.9
TERM_02742030,ls2 yarım kask,1.0,1.0,1.0,3,15,3,True,otomobil & motosiklet,0.9
TERM_0275b952,echer form,1.0,1.0,1.0,2,10,2,True,süpermarket,0.9
TERM_027772c1,okçuluk hedef tahtası,1.0,1.0,1.0,1,5,3,False,spor & outdoor,0.9
TERM_02777c67,bts tişört,1.0,1.0,1.0,10,50,2,False,giyim,0.9
TERM_0284dcdb,edgar allan poe,1.0,1.0,1.0,2,10,3,False,kitap,0.9
TERM_0285d1b4,100ml,1.0,1.0,1.0,5,25,1,False,kozmetik & kişisel bakım,0.9
TERM_0286072d,stradivarius bot,1.0,1.0,1.0,1,5,2,True,ayakkabı,0.9
TERM_02933894,alyans,1.0,1.0,1.0,43,215,1,False,aksesuar,0.9
TERM_02939acd,klavye mause set,1.0,1.0,1.0,8,40,3,False,elektronik,0.9
TERM_02939e75,lacoste parfüm,1.0,1.0,1.0,2,10,2,True,kozmetik & kişisel bakım,0.9
TERM_0294df2c,dolap kilidi,1.0,1.0,1.0,17,85,2,False,anne & bebek & çocuk,0.9
TERM_02a1b1aa,gümüş stiletto,0.990195561646724,1.0,0.967741935483871,31,155,2,False,ayakkabı,0.9
TERM_02a2b112,mangal kömürü,1.0,1.0,1.0,6,30,2,False,bahçe & elektrikli el aletleri,0.9
TERM_02a2d193,kadın klasik çanta,1.0,1.0,1.0,4,20,3,False,aksesuar,0.9
TERM_02a8b39e,karaca kupa bardak,0.9757983193277311,0.9230769230769231,1.0,12,60,3,True,ev & mobilya,0.9
TERM_02b000a8,hotweels,1.0,1.0,1.0,1,5,1,False,ev & mobilya,0.9
TERM_02b199d1,renax,1.0,1.0,1.0,6,30,1,True,süpermarket,0.9
TERM_02bd2acc,yatak örtüsü set,0.9490740740740741,0.8461538461538461,1.0,11,55,3,False,ev & mobilya,0.9
TERM_02bfc241,kolluk simit,1.0,1.0,1.0,13,65,2,False,spor & outdoor,0.9
TERM_02c19413,spez,1.0,1.0,1.0,5,25,1,False,ayakkabı,0.9
TERM_02c74e45,altınyıldız classics erkek ceket,1.0,1.0,1.0,7,35,4,False,giyim,0.9
TERM_02c9f815,bentley parfüm,1.0,1.0,1.0,1,5,2,True,kozmetik & kişisel bakım,0.9
TERM_02cf7894,kız bebek ayakkabısı,0.931656383483626,1.0,0.7916666666666666,24,120,3,False,ayakkabı,0.9
TERM_02d211cb,ahşap makyaj masası,1.0,1.0,1.0,5,25,3,False,ev & mobilya,0.9
TERM_02d3fae2,duvar tabağı,1.0,1.0,1.0,6,30,2,False,ev & mobilya,0.9
TERM_02d74ae8,ayt matematik soru bankası,1.0,1.0,1.0,6,30,4,False,kitap,0.9
TERM_02d9e864,saç bigudi,1.0,1.0,1.0,11,55,2,False,aksesuar,0.9
TERM_02db75f2,güneş enerjili solar aydınlatma,0.9846919249904325,1.0,0.95,20,100,4,True,bahçe & elektrikli el aletleri,0.9
TERM_02dd34ef,lacoste erkek sweatshirt,1.0,1.0,1.0,20,100,3,True,giyim,0.9
TERM_02dfbbdd,yüksek taban terlik,1.0,1.0,1.0,18,90,3,False,ayakkabı,0.9
TERM_02e0ed5f,beşiktaş forması,1.0,1.0,1.0,13,65,2,True,giyim,0.9
TERM_02e41f73,papatyalı doğum günü konsepti,1.0,1.0,1.0,1,5,4,False,hobi & eğlence,0.9
TERM_02e6c93f,versace jeans couture,0.950470307454724,0.9069767441860465,0.9285714285714286,42,210,3,True,giyim,0.9
TERM_02e73454,seccade seti,0.987287013330979,1.0,0.9583333333333334,24,120,2,False,ev & mobilya,0.9
TERM_02e9f845,karartma fon perde,1.0,1.0,1.0,46,230,3,False,ev & mobilya,0.9
TERM_02ed9652,tıraş aksesuarı,1.0,1.0,1.0,14,70,2,False,kozmetik & kişisel bakım,0.9
TERM_02ee8927,ederson,1.0,1.0,1.0,1,5,1,False,giyim,0.9
TERM_02f1e6ad,abercrombie & fitch,1.0,1.0,1.0,1,5,3,True,ev & mobilya,0.9
TERM_02f2482d,ahşap sehpa,0.9890503548496113,0.9642857142857143,1.0,27,135,2,False,ev & mobilya,0.9
TERM_02f7d40e,reebok saat,1.0,1.0,1.0,13,65,2,True,aksesuar,0.9
TERM_02f8bb4d,sallanan bebek ana kucağı,1.0,1.0,1.0,3,15,4,False,anne & bebek & çocuk,0.9
TERM_02fb454c,saat kordonu,0.960502397534392,0.8876404494382022,0.9875,80,400,2,False,aksesuar,0.9
TERM_030531ed,kulak temizleme,1.0,1.0,1.0,7,35,2,False,süpermarket,0.9
TERM_030653cc,fagor düdüklü tencere,1.0,1.0,1.0,1,5,3,True,ev & mobilya,0.9
TERM_030790bb,tuval boyama seti,0.9443413729128014,0.8333333333333334,1.0,25,125,3,False,kırtasiye & ofis malzemeleri,0.9
TERM_032a5ab7,baglovis,0.9845339845339844,0.95,1.0,19,95,1,True,aksesuar,0.9
TERM_03305ef8,dondurmalık,1.0,1.0,1.0,37,185,1,False,ev & mobilya,0.9
TERM_0331ccf3,jbl kablolu kulaklık,0.8736842105263158,0.6666666666666666,1.0,4,20,3,True,elektronik,0.7
TERM_03372244,shampoo,1.0,1.0,1.0,5,25,1,False,kozmetik & kişisel bakım,0.9
TERM_033db424,armatür,0.9343852523043275,0.8461538461538461,0.9428571428571428,35,175,1,False,banyo yapı & hırdavat,0.9
TERM_033ec38e,clio kapatıcı,1.0,1.0,1.0,1,5,2,True,kozmetik & kişisel bakım,0.9
TERM_033feac5,masa üstü çiçek,1.0,1.0,1.0,4,20,3,False,ev & mobilya,0.9
TERM_03413622,bitki besini ve vitamin,1.0,1.0,1.0,26,130,4,False,bahçe & elektrikli el aletleri,0.9
TERM_03428d64,ceyo topuk dikeni terliği,1.0,1.0,1.0,4,20,4,True,ayakkabı,0.9
TERM_03498a9a,niloya,0.7777777777777777,0.5,1.0,1,5,1,True,anne & bebek & çocuk,0.7
TERM_035b493c,plastik çerçeve,1.0,1.0,1.0,4,20,2,False,ev & mobilya,0.9
TERM_035e1f3c,boboli,0.9736737136019147,0.9166666666666666,1.0,33,165,1,True,giyim,0.9
TERM_036b2e3e,2 kişilik şişme yatak,0.934640522875817,1.0,0.8,5,25,4,False,spor & outdoor,0.9
TERM_036f0220,11. sınıf matematik soru bankası,1.0,1.0,1.0,5,25,5,False,kitap,0.9
TERM_0370d944,işçi önlüğü,1.0,1.0,1.0,3,15,2,False,banyo yapı & hırdavat,0.9
TERM_03782148,kadın büyük beden kazak,0.9757983193277311,0.9230769230769231,1.0,24,120,4,False,giyim,0.9
TERM_037d89a7,simli eşarp,0.9443413729128014,0.8333333333333334,1.0,5,25,2,False,giyim,0.9
TERM_03849f03,erkek çocuk çanta,1.0,1.0,1.0,7,35,3,False,aksesuar,0.9
TERM_0386fd42,çocuk oyuncak,0.692779936648924,0.3950617283950617,1.0,32,160,2,False,anne & bebek & çocuk,0.5
TERM_0388b57e,yüzücü bone,0.9779353821907013,1.0,0.9285714285714286,14,70,2,False,spor & outdoor,0.9
TERM_0389c54b,puma eşofman,0.9530638852672751,0.8571428571428571,1.0,30,150,2,True,giyim,0.9
TERM_038b57fe,leuchtturm1917,1.0,1.0,1.0,10,50,1,True,kırtasiye & ofis malzemeleri,0.9
TERM_038c1a0e,mango omuz çantası,1.0,1.0,1.0,12,60,3,True,aksesuar,0.9
TERM_038e0d08,sunum kasesi,0.972465034965035,0.9130434782608695,1.0,21,105,2,False,ev & mobilya,0.9
TERM_039096ef,ikili kahve fincanı,0.9927534097269273,0.9761904761904762,1.0,41,205,3,False,ev & mobilya,0.9
TERM_03931875,konvoy havlusu,1.0,1.0,1.0,11,55,2,False,ev & mobilya,0.9
TERM_039ef9e8,cba akademi,1.0,1.0,1.0,6,30,2,True,ev & mobilya,0.9
TERM_03a61ae3,krem salon halısı,1.0,1.0,1.0,18,90,3,False,ev & mobilya,0.9
TERM_03a6d760,puma eşofman takımı,0.9827557058326288,0.9444444444444444,1.0,17,85,3,True,giyim,0.9
TERM_03add143,çocuk odası dekorasyonu,0.976,0.96,0.96,50,250,3,False,ev & mobilya,0.9
TERM_03af2644,hot wheels premium set,1.0,1.0,1.0,1,5,4,True,hobi & eğlence,0.9
TERM_03b0c41f,boron çamaşır deterjanı,1.0,1.0,1.0,7,35,3,True,süpermarket,0.9
