term_id,query,f1,precision,recall,n_pos,n_neg,q_len,main_cat
TERM_6325c379,stradivarius d74,0.45454545454545453,0.0,0.0,1,5,2,giyim
TERM_c0b24114,ipekyol kumaş pantolon,0.45454545454545453,0.0,0.0,1,5,3,giyim
TERM_a33271fd,puro,0.45454545454545453,0.0,0.0,1,5,1,ev & mobilya
TERM_0d539011,cros kask,0.45454545454545453,0.0,0.0,2,10,2,aksesuar
TERM_7fdddfef,la roche tonik,0.45454545454545453,0.0,0.0,1,5,3,kozmetik & kişisel bakım
TERM_c0be048b,uyku seri,0.45454545454545453,0.0,0.0,1,5,2,ev & mobilya
TERM_67cab0f4,laroche,0.45454545454545453,0.0,0.0,1,5,1,kozmetik & kişisel bakım
TERM_083386c4,trekking,0.45454545454545453,0.0,0.0,1,5,1,ayakkabı
TERM_630175ec,north of wild,0.45454545454545453,0.0,0.0,3,15,3,ayakkabı
TERM_9c6496b7,nazenintasarımlar terlik,0.45454545454545453,0.0,0.0,1,5,2,ayakkabı
TERM_0705fc2b,lc waikiki kız çocuk eşofman takımı,0.45454545454545453,0.0,0.0,1,5,6,giyim
TERM_679a1a50,pencere,0.45454545454545453,0.0,0.0,1,5,1,ev & mobilya
TERM_fb76e06b,çocuk termos,0.45454545454545453,0.0,0.0,1,5,2,aksesuar
TERM_025f2d79,school panda,0.45454545454545453,0.0,0.0,1,5,2,aksesuar
TERM_0fd978ec,baby brown,0.45454545454545453,0.0,0.0,1,5,2,giyim
TERM_9e584312,çalışma masası süsleri,0.45454545454545453,0.0,0.0,3,15,3,ev & mobilya
TERM_399525f4,ayfa yayınları,0.45454545454545453,0.0,0.0,1,5,2,giyim
TERM_b6219ce4,düğün paketi,0.45454545454545453,0.0,0.0,2,10,2,hobi & eğlence
TERM_087695a9,einhell şarjlı matkap,0.45454545454545453,0.0,0.0,1,5,3,bahçe & elektrikli el aletleri
TERM_bb91da17,apple kablosuz kulaklık,0.45454545454545453,0.0,0.0,1,5,3,elektronik
TERM_8b7f9008,steletto ayakkabı,0.45454545454545453,0.0,0.0,1,5,2,ayakkabı
TERM_f9cdec90,mac thanks its mac,0.45454545454545453,0.0,0.0,2,10,4,kozmetik & kişisel bakım
TERM_b5210227,makyaj öncesi nemlendirici,0.45454545454545453,0.0,0.0,2,10,3,kozmetik & kişisel bakım
TERM_b25ddcd5,elbise kurutma askısı,0.45454545454545453,0.0,0.0,1,5,3,ev & mobilya
TERM_b21c3c2b,bahçe & yapı market,0.45454545454545453,0.0,0.0,44,220,4,bahçe & elektrikli el aletleri
TERM_bb66ec9e,pover tec,0.45454545454545453,0.0,0.0,3,15,2,elektronik
TERM_fa45badd,raf aksesuarları,0.45454545454545453,0.0,0.0,2,10,2,ev & mobilya
TERM_478d0141,baby einstein,0.45454545454545453,0.0,0.0,1,5,2,anne & bebek & çocuk
TERM_6fd6211b,hola allık,0.45454545454545453,0.0,0.0,1,5,2,giyim
TERM_362c9aa1,tk03,0.45454545454545453,0.0,0.0,1,5,1,otomobil & motosiklet
TERM_214c1348,mad 112,0.45454545454545453,0.0,0.0,1,5,2,kozmetik & kişisel bakım
TERM_62884543,pilakalık,0.45454545454545453,0.0,0.0,1,5,1,otomobil & motosiklet
TERM_dc8775e9,siyah ugg,0.45454545454545453,0.0,0.0,1,5,2,ayakkabı
TERM_ce02c99b,boncuk boyama,0.45454545454545453,0.0,0.0,1,5,2,ev & mobilya
TERM_879441dc,altın başak,0.45454545454545453,0.0,0.0,1,5,2,ev & mobilya
TERM_1f2a84e4,sıvıyağ,0.45454545454545453,0.0,0.0,1,5,1,ev & mobilya
TERM_ee017a64,alex avien fırça,0.45454545454545453,0.0,0.0,1,5,3,ev & mobilya
TERM_4b42228f,bosch 18 kilima,0.45454545454545453,0.0,0.0,1,5,3,elektronik
TERM_7edf1237,fanto,0.45454545454545453,0.0,0.0,1,5,1,elektronik
TERM_13275124,thanks its mac,0.45454545454545453,0.0,0.0,1,5,3,hobi & eğlence
TERM_98af2f7e,ugg muadil,0.45454545454545453,0.0,0.0,1,5,2,ayakkabı
TERM_701378a4,bepanthol sensidaily,0.45454545454545453,0.0,0.0,1,5,2,ev & mobilya
TERM_477467e4,deri loafer,0.45454545454545453,0.0,0.0,1,5,2,ayakkabı
TERM_1ce16390,takma tırnak şefaf,0.45454545454545453,0.0,0.0,1,5,3,kozmetik & kişisel bakım
TERM_1cfec8eb,sıfır kollu ceket,0.45454545454545453,0.0,0.0,2,10,3,giyim
TERM_c38c6a5b,kivi dikey süpürge,0.45454545454545453,0.0,0.0,1,5,3,elektronik
TERM_216d9a2b,spor salonu,0.45454545454545453,0.0,0.0,2,10,2,ev & mobilya
TERM_8d1e45c9,genius,0.45454545454545453,0.0,0.0,4,20,1,giyim
TERM_c93549be,kadın erkek çift pijama takımı,0.45454545454545453,0.0,0.0,2,10,5,giyim
TERM_bd84a9f4,pum,0.45454545454545453,0.0,0.0,1,5,1,ayakkabı
TERM_ca7c3ce0,mango şal,0.45454545454545453,0.0,0.0,1,5,2,aksesuar
TERM_062da618,erkek saç şekillendirici,0.45454545454545453,0.0,0.0,1,5,3,aksesuar
TERM_6154dd64,lorael,0.45454545454545453,0.0,0.0,3,15,1,kozmetik & kişisel bakım
TERM_b966ee4d,taşlı abiye elbise,0.45454545454545453,0.0,0.0,1,5,3,ev & mobilya
TERM_222c99f5,suya dayanıklı,0.45454545454545453,0.0,0.0,1,5,2,kozmetik & kişisel bakım
TERM_0bf351dd,çocuk krop,0.45454545454545453,0.0,0.0,7,35,2,giyim
TERM_2ce049bf,abur cubur kutusu,0.45454545454545453,0.0,0.0,1,5,3,süpermarket
TERM_d49c50ec,og natural bebek bisküvisi,0.45454545454545453,0.0,0.0,1,5,4,süpermarket
TERM_5155bdf5,sihirli cam silme bezi,0.45454545454545453,0.0,0.0,1,5,4,ayakkabı
TERM_fa3bb14a,eym,0.45454545454545453,0.0,0.0,1,5,1,anne & bebek & çocuk
TERM_81a1977d,takım elbise ceketi,0.45454545454545453,0.0,0.0,1,5,3,giyim
TERM_9327b614,sıfır kol şişme mont,0.45454545454545453,0.0,0.0,1,5,4,giyim
TERM_bb8a8c92,en ucuz,0.45454545454545453,0.0,0.0,2,10,2,ev & mobilya
TERM_f98fbc5f,zayıflama kapsülü,0.45454545454545453,0.0,0.0,2,10,2,süpermarket
TERM_7b888bbc,14 15 yaş abiye,0.45454545454545453,0.0,0.0,2,10,4,giyim
TERM_51c7b80a,mac set,0.45454545454545453,0.0,0.0,1,5,2,kozmetik & kişisel bakım
TERM_4aaaa274,dayson elektrikli süpürge,0.45454545454545453,0.0,0.0,1,5,3,elektronik
TERM_a971cf4d,nazalya,0.45454545454545453,0.0,0.0,4,20,1,elektronik
TERM_cf388b74,bergolla,0.45454545454545453,0.0,0.0,1,5,1,ev & mobilya
TERM_c2cbecc0,dayson dik süpürge,0.45454545454545453,0.0,0.0,1,5,3,elektronik
TERM_fe232230,rosmann,0.45454545454545453,0.0,0.0,1,5,1,süpermarket
TERM_c8fcc319,erkek marka saat,0.45454545454545453,0.0,0.0,2,10,3,aksesuar
TERM_9adc035a,kahve dünyası nello,0.45454545454545453,0.0,0.0,1,5,3,süpermarket
TERM_379682c0,saat pili,0.45454545454545453,0.0,0.0,1,5,2,kırtasiye & ofis malzemeleri
TERM_0a818a7f,maf,0.45454545454545453,0.0,0.0,1,5,1,kozmetik & kişisel bakım
TERM_83c3abe0,1000 parça lego seti,0.45454545454545453,0.0,0.0,1,5,4,anne & bebek & çocuk
TERM_0516a83b,bohem ranır,0.45454545454545453,0.0,0.0,1,5,2,ev & mobilya
TERM_aa66b634,beaun,0.45454545454545453,0.0,0.0,3,15,1,elektronik
TERM_7c7a852e,barbie termos,0.45454545454545453,0.0,0.0,1,5,2,kırtasiye & ofis malzemeleri
TERM_f5c8cf21,köpek savar,0.45454545454545453,0.0,0.0,1,5,2,ev & mobilya
TERM_4f5a71f9,karen,0.45454545454545453,0.0,0.0,1,5,1,giyim
TERM_a16bfaed,sanayi,0.45454545454545453,0.0,0.0,1,5,1,otomobil & motosiklet
TERM_3bb5b9b1,aykkabı,0.45454545454545453,0.0,0.0,5,25,1,ayakkabı
TERM_32fa6bcd,mad j101,0.45454545454545453,0.0,0.0,1,5,2,aksesuar
TERM_ba40a62c,pure beatuy,0.45454545454545453,0.0,0.0,3,15,2,kozmetik & kişisel bakım
TERM_6d9d4d19,joie,0.45454545454545453,0.0,0.0,4,20,1,ev & mobilya
TERM_6ad073f8,dilan polat,0.45454545454545453,0.0,0.0,9,45,2,kozmetik & kişisel bakım
TERM_d1efd577,kipe,0.45454545454545453,0.0,0.0,3,15,1,aksesuar
TERM_918195be,12 13 yaş kız çocuk eşofman takımı,0.45454545454545453,0.0,0.0,1,5,7,giyim
TERM_15492662,mad c119,0.45454545454545453,0.0,0.0,1,5,2,kozmetik & kişisel bakım
TERM_d2d994d6,genç saat,0.45454545454545453,0.0,0.0,1,5,2,aksesuar
TERM_91727ddc,yüz,0.45454545454545453,0.0,0.0,1,5,1,kozmetik & kişisel bakım
TERM_bfce178f,rondo seti,0.45454545454545453,0.0,0.0,1,5,2,elektronik
TERM_bfae3f87,kolay tarama,0.45454545454545453,0.0,0.0,1,5,2,kozmetik & kişisel bakım
TERM_31bae127,bebek aylık küpleri,0.45454545454545453,0.0,0.0,1,5,3,anne & bebek & çocuk
TERM_c9c5dc6f,çekas,0.45454545454545453,0.0,0.0,10,50,1,ev & mobilya
TERM_e8ef3636,brother toys diğer oyuncaklar,0.45454545454545453,0.0,0.0,4,20,4,anne & bebek & çocuk
TERM_d3676863,ramazan yetkin,0.45454545454545453,0.0,0.0,1,5,2,kitap
TERM_d2a0e140,retinok,0.45454545454545453,0.0,0.0,1,5,1,ev & mobilya
TERM_f7a696a5,gms,0.45454545454545453,0.0,0.0,1,5,1,ayakkabı
TERM_09752289,loreal göz kalemi,0.45454545454545453,0.0,0.0,1,5,3,kozmetik & kişisel bakım
TERM_dc87cf07,xl,0.45454545454545453,0.0,0.0,3,15,1,aksesuar
TERM_493cb7d4,tekne ve yat malzemeleri,0.45454545454545453,0.0,0.0,1,5,4,ev & mobilya
TERM_c6a158cf,pier carden,0.45454545454545453,0.0,0.0,3,15,2,giyim
TERM_6f34319a,pcos,0.45454545454545453,0.0,0.0,1,5,1,süpermarket
TERM_485171d1,oda dekor,0.45454545454545453,0.0,0.0,3,15,2,ev & mobilya
TERM_e843d137,orta,0.45454545454545453,0.0,0.0,1,5,1,kozmetik & kişisel bakım
TERM_440c9cd3,kız çocuk eşyaları,0.45454545454545453,0.0,0.0,2,10,3,giyim
TERM_a1510c40,şap,0.45454545454545453,0.0,0.0,3,15,1,süpermarket
TERM_91f6a8f2,çamaşır detarjanı,0.45454545454545453,0.0,0.0,1,5,2,ev & mobilya
TERM_3f8d013c,bibs emzik kutusu,0.45454545454545453,0.0,0.0,1,5,3,anne & bebek & çocuk
TERM_536333bc,huggy ana kucağı,0.45454545454545453,0.0,0.0,1,5,3,anne & bebek & çocuk
TERM_fd9b3eaf,tto thermal,0.45454545454545453,0.0,0.0,1,5,2,kozmetik & kişisel bakım
TERM_0191994f,345 start,0.45454545454545453,0.0,0.0,1,5,2,kitap
TERM_de60846b,hayalperest boncuk kına gecesi seti,0.45454545454545453,0.0,0.0,7,35,5,hobi & eğlence
TERM_c1e41497,motorsiklet kask kamerası,0.45454545454545453,0.0,0.0,1,5,3,elektronik
TERM_fde66a4d,areon x,0.45454545454545453,0.0,0.0,3,15,2,otomobil & motosiklet
TERM_97989fa0,baş ucu sürahi,0.45454545454545453,0.0,0.0,1,5,3,ev & mobilya
TERM_aed0c6b9,guess kartlık,0.45454545454545453,0.0,0.0,1,5,2,aksesuar
TERM_ad61cf9c,çocuk baggy pantolon,0.45454545454545453,0.0,0.0,1,5,3,giyim
TERM_c1e60210,range rover mom ceket,0.45454545454545453,0.0,0.0,1,5,4,giyim
TERM_1370d0b0,usa polo,0.45454545454545453,0.0,0.0,1,5,2,giyim
TERM_3fac307d,typce girişi usb dönüştürücü,0.45454545454545453,0.0,0.0,1,5,4,elektronik
TERM_eb5a8810,philips avent biberon ucu,0.45454545454545453,0.0,0.0,1,5,4,anne & bebek & çocuk
TERM_9a1ee377,all in one pc,0.45454545454545453,0.0,0.0,2,10,4,elektronik
TERM_5e641c56,dekoratif resim çerçevesi,0.45454545454545453,0.0,0.0,1,5,3,ev & mobilya
TERM_f7420234,siyah elcik,0.45454545454545453,0.0,0.0,1,5,2,otomobil & motosiklet
TERM_dd24ac41,mobt,0.45454545454545453,0.0,0.0,2,10,1,giyim
TERM_dd0c3e18,kamera çekim,0.45454545454545453,0.0,0.0,1,5,2,elektronik
TERM_8f436126,stich doğum günü,0.45454545454545453,0.0,0.0,1,5,3,ev & mobilya
TERM_76eca56a,tech hırka,0.45454545454545453,0.0,0.0,1,5,2,giyim
TERM_e0ee778d,erkek hediyesi,0.45454545454545453,0.0,0.0,4,20,2,aksesuar
TERM_25bb1483,nakış,0.45454545454545453,0.0,0.0,1,5,1,ev & mobilya
TERM_e439d846,grundig çaycı,0.45454545454545453,0.0,0.0,1,5,2,elektronik
TERM_6b1a92cb,yapy çiçek,0.45454545454545453,0.0,0.0,1,5,2,ev & mobilya
TERM_1a784cbf,çift kişilik yorganlı nevresim takımı,0.45454545454545453,0.0,0.0,1,5,5,ev & mobilya
TERM_2f5dbfad,gold spor ayakkabı,0.45454545454545453,0.0,0.0,1,5,3,ayakkabı
TERM_8ffe2171,kacher buhar makinası,0.45454545454545453,0.0,0.0,1,5,3,elektronik
TERM_ba86ece7,yağmur,0.45454545454545453,0.0,0.0,1,5,1,giyim
TERM_eb9da292,bank,0.45454545454545453,0.0,0.0,1,5,1,kitap
TERM_21e053ab,roborock q revo s,0.45454545454545453,0.0,0.0,1,5,4,elektronik
TERM_c89735fb,türkiye iş bankası kültür yayınları,0.47595847895258464,0.6666666666666666,0.021739130434782608,92,460,5,kitap
TERM_e45e84ed,gönderi(r) kadın,0.5198170731707317,1.0,0.06666666666666667,30,150,2,ayakkabı
TERM_600aacf5,gön deri,0.5222096012434985,0.42857142857142855,0.08333333333333333,36,180,2,ayakkabı
TERM_533932fc,araç seti,0.5349383440986495,1.0,0.08333333333333333,12,60,2,anne & bebek & çocuk
TERM_079dcda1,hayalperest boncuk taç/saç bandı,0.5496246872393662,1.0,0.1,10,50,4,aksesuar
TERM_5406e2e2,uno,0.55,0.25,0.25,4,20,1,hobi & eğlence
TERM_5cf4b7e2,pelin,0.5534883720930233,0.5,0.125,8,40,1,aksesuar
TERM_92ce4285,huggy,0.5534883720930233,0.5,0.125,8,40,1,anne & bebek & çocuk
TERM_6e4d7ff5,bersha,0.5566502463054187,0.25,0.3333333333333333,3,15,1,giyim
TERM_70172cea,eşyalar,0.5708812260536398,1.0,0.125,8,40,1,ev & mobilya
TERM_f2062e53,zha zha zsu,0.5708812260536398,1.0,0.125,8,40,3,ev & mobilya
TERM_150ba9d8,gap kids,0.5708812260536398,1.0,0.125,8,40,2,giyim
TERM_9e5c7233,bir bir doktor kimyager,0.5746007012076354,0.6666666666666666,0.14285714285714285,14,70,4,kozmetik & kişisel bakım
TERM_76535e64,husqvarna,0.5855263157894737,1.0,0.14285714285714285,7,35,1,bahçe & elektrikli el aletleri
TERM_78fea692,battal,0.5855263157894737,1.0,0.14285714285714285,7,35,1,ev & mobilya
TERM_e151013f,havuç kot pantolon,0.5956873315363882,0.5,0.2,5,25,3,giyim
TERM_54decb20,sgs,0.5986111111111111,0.5,0.20588235294117646,34,170,1,bahçe & elektrikli el aletleri
TERM_a1cf06df,hatemoğlu erkek,0.6,0.3333333333333333,0.3333333333333333,3,15,2,giyim
TERM_6c7df895,sword,0.6036697247706422,0.30434782608695654,0.5833333333333334,12,60,1,ayakkabı
TERM_e95f6f57,katia & bony çocuk,0.6042328042328042,0.3125,0.45454545454545453,11,55,4,giyim
TERM_18e8c159,kadın bıt,0.6043956043956045,1.0,0.16666666666666666,6,30,2,ayakkabı
TERM_b06c13e5,shoes,0.6043956043956045,1.0,0.16666666666666666,6,30,1,ayakkabı
TERM_7280dba7,gömşek,0.6043956043956045,1.0,0.16666666666666666,6,30,1,giyim
TERM_f75a3f5f,transformacion,0.6047691527143582,0.6153846153846154,0.1951219512195122,41,205,1,ev & mobilya
TERM_e11d3a1f,çocuk panço,0.606015382849271,0.9,0.17307692307692307,52,260,2,giyim
TERM_5fa086f3,phlips,0.6190476190476191,0.5,0.25,4,20,1,elektronik
TERM_525a10e9,weleda,0.6210526315789473,0.3333333333333333,0.5,2,10,1,kozmetik & kişisel bakım
TERM_3c6c2136,abbruch,0.6210526315789473,0.3333333333333333,0.5,4,20,1,elektronik
TERM_e6903c3f,ecolatier,0.6210526315789473,0.3333333333333333,0.5,4,20,1,kozmetik & kişisel bakım
TERM_269fd554,fotoğraf yazıcısı,0.6210526315789473,0.3333333333333333,0.5,2,10,2,elektronik
TERM_ac2d1ca5,akel,0.6210526315789473,0.3333333333333333,0.5,2,10,1,elektronik
TERM_a4ba56aa,trabzon spor,0.625,0.3333333333333333,1.0,1,5,2,giyim
TERM_2b196b21,harman kardon,0.625,0.3333333333333333,1.0,2,10,2,elektronik
TERM_25627668,aptamil mama,0.625,0.3333333333333333,1.0,1,5,2,anne & bebek & çocuk
TERM_3c2ff4e8,tuz taşı,0.625,0.3333333333333333,1.0,1,5,2,ev & mobilya
TERM_c71dd877,miny center,0.6266666666666667,0.75,0.21428571428571427,14,70,2,giyim
TERM_eaea31e9,u green clean,0.6273291925465838,0.3333333333333333,0.6,5,25,3,süpermarket
TERM_7738fc5a,fatih,0.6293604651162791,0.4,0.35294117647058826,17,85,1,kırtasiye & ofis malzemeleri
TERM_6e30e20e,space,0.6296296296296295,0.3333333333333333,0.6666666666666666,3,15,1,otomobil & motosiklet
TERM_ff7e6cb4,pikas,0.6296296296296295,0.3333333333333333,0.6666666666666666,6,30,1,ev & mobilya
TERM_d76a641c,philips bebek,0.6296296296296297,1.0,0.2,5,25,2,anne & bebek & çocuk
TERM_5d39c81e,derimont bayan,0.6296296296296297,1.0,0.2,10,50,2,giyim
TERM_f57e8184,sitikır,0.6296296296296297,1.0,0.2,20,100,1,kırtasiye & ofis malzemeleri
TERM_3ba97fa9,delongi,0.6296296296296297,1.0,0.2,5,25,1,elektronik
TERM_b7af3177,alçı kalıbı,0.6331635016211209,0.6,0.25,12,60,2,kırtasiye & ofis malzemeleri
TERM_24329932,rival,0.6369022429115532,0.75,0.23076923076923078,13,65,1,kozmetik & kişisel bakım
TERM_ff4b99b8,polo ralph lauren,0.64,0.4,0.4,30,150,3,giyim
TERM_afe150d5,unfilter beauty,0.64,0.4,0.4,5,25,2,kozmetik & kişisel bakım
TERM_cf5e3a68,3m,0.64,0.4,0.4,15,75,1,banyo yapı & hırdavat
TERM_c5475a95,moda frato,0.6402116402116402,0.5555555555555556,0.2777777777777778,18,90,2,ayakkabı
TERM_0a7728b8,og,0.6443965517241379,0.6,0.2727272727272727,11,55,1,süpermarket
TERM_31377d16,robo,0.6444444444444444,0.42857142857142855,0.375,8,40,1,elektronik
TERM_006d25c9,elis,0.6516129032258065,0.5,0.3333333333333333,3,15,1,ayakkabı
TERM_ed689cce,shark ninja,0.6516129032258065,0.5,0.3333333333333333,3,15,2,elektronik
TERM_bacc05a8,koltuk süpürgesi,0.6516129032258065,0.5,0.3333333333333333,3,15,2,otomobil & motosiklet
TERM_16a34b97,sıvı yağlar,0.6517857142857143,1.0,0.23076923076923078,13,65,2,süpermarket
TERM_575130ba,yemek setleri,0.6520938794293604,0.9090909090909091,0.23809523809523808,42,210,2,anne & bebek & çocuk
TERM_aac49141,black decker,0.652775854907933,0.6666666666666666,0.2727272727272727,22,110,2,elektronik
TERM_febb1868,agt,0.6543359611885992,0.4666666666666667,0.3684210526315789,19,95,1,ev & mobilya
TERM_efc47038,fermente mutfağım,0.6563011456628478,0.375,0.6,5,25,2,kozmetik & kişisel bakım
TERM_138999db,north,0.6571428571428571,0.42857142857142855,0.42857142857142855,7,35,1,giyim
TERM_4044ff6e,reeder,0.6581196581196581,0.4,0.5,4,20,1,elektronik
TERM_cfae7eec,mutfak aksesuar,0.6607329842931937,0.7142857142857143,0.2777777777777778,18,90,2,ev & mobilya
TERM_1ca2b7b2,yedek akü & şarj cihazları,0.6615384615384616,0.75,0.2727272727272727,11,55,5,bahçe & elektrikli el aletleri
TERM_fee93bd9,ebebek hello baby çocuk,0.6636678200692041,0.875,0.25925925925925924,27,135,4,giyim
TERM_852226b6,class forma,0.6651162790697674,1.0,0.25,8,40,2,banyo yapı & hırdavat
TERM_2ba503f3,careve,0.6651162790697674,1.0,0.25,4,20,1,kozmetik & kişisel bakım
TERM_5e072e78,genç kız kıyafet,0.6651162790697674,1.0,0.25,4,20,3,giyim
TERM_f7531e84,orta sehpa aksesuar,0.6651162790697674,1.0,0.25,4,20,3,ev & mobilya
TERM_5888862e,çocuk hediyeleri,0.6651162790697674,1.0,0.25,4,20,2,anne & bebek & çocuk
TERM_bd88cd9d,marjin topuklu ayakkabı,0.6651162790697674,1.0,0.25,4,20,3,ayakkabı
TERM_0ebc3952,balkon aksesuarları,0.6651162790697674,1.0,0.25,8,40,2,ev & mobilya
TERM_bc214e29,klinik,0.6651162790697674,1.0,0.25,4,20,1,kozmetik & kişisel bakım
TERM_e676f065,dht blocker,0.6651162790697674,1.0,0.25,4,20,2,süpermarket
TERM_0a589956,dayson,0.6651162790697674,1.0,0.25,12,60,1,banyo yapı & hırdavat
TERM_10018625,baş örtü,0.6651162790697674,1.0,0.25,4,20,2,giyim
TERM_d008009e,edea,0.6651162790697674,1.0,0.25,4,20,1,spor & outdoor
TERM_e1fdcc2c,avie,0.6651162790697674,1.0,0.25,4,20,1,kozmetik & kişisel bakım
TERM_a3df9a7d,yapı market,0.6681034482758621,0.6666666666666666,0.30303030303030304,33,165,2,banyo yapı & hırdavat
TERM_ea5f1602,kraft,0.6682883679787704,0.7777777777777778,0.28,25,125,1,anne & bebek & çocuk
TERM_c4203188,derwent,0.673202614379085,0.5,0.4,5,25,1,kırtasiye & ofis malzemeleri
TERM_383166ea,piranha,0.6783898305084746,0.5294117647058824,0.391304347826087,23,115,1,elektronik
TERM_47b09868,stabilı,0.6785714285714286,0.4,0.6666666666666666,3,15,1,kırtasiye & ofis malzemeleri
TERM_523521d6,awox,0.6787800129785853,0.3870967741935484,0.8,15,75,1,elektronik
TERM_6e6a3fee,mickey mouse,0.6814797021378813,0.8333333333333334,0.29411764705882354,17,85,2,giyim
TERM_69becbb7,havana,0.6825396825396826,0.6666666666666666,0.3333333333333333,6,30,1,spor & outdoor
TERM_e8b0d31e,timaş yayınları,0.6825396825396826,0.6666666666666666,0.3333333333333333,24,120,2,kitap
TERM_774da691,homm,0.6873449131513648,0.7,0.3333333333333333,21,105,1,kozmetik & kişisel bakım
TERM_380e6145,elektronik,0.6888313729115153,0.39325842696629215,0.9170305676855895,229,1145,1,elektronik
TERM_16b9170d,sehpa süsü,0.6888888888888889,1.0,0.2857142857142857,7,35,2,ev & mobilya
TERM_29e81e77,haşı,0.6888888888888889,1.0,0.2857142857142857,7,35,1,ev & mobilya
TERM_ef038fe4,sennheiser,0.6888888888888889,1.0,0.2857142857142857,14,70,1,elektronik
TERM_3c518eda,beverly hills polo club,0.6896381578947368,0.5555555555555556,0.40540540540540543,37,185,4,aksesuar
TERM_e6175027,dolce&gabbana,0.6916666666666667,0.6086956521739131,0.3783783783783784,37,185,1,aksesuar
TERM_35ff581f,devecioğlu,0.6933797909407665,0.5555555555555556,0.4166666666666667,12,60,1,ev & mobilya
TERM_a458d765,helios,0.6968172372306682,0.5263157894736842,0.45454545454545453,22,110,1,banyo yapı & hırdavat
TERM_cbce68ab,yves saint,0.6974789915966386,0.4,1.0,4,20,2,kozmetik & kişisel bakım
TERM_25b1c49b,çay ağacı yüz yıkama jeli,0.7,0.5,0.5,2,10,5,kozmetik & kişisel bakım
TERM_f6679135,mini topuklu ayakkabı,0.7,0.5,0.5,2,10,3,ayakkabı
TERM_d317926f,sipor ayakkabı,0.7,0.5,0.5,2,10,2,ayakkabı
TERM_8713037c,sinoz nemlendirici,0.7,0.5,0.5,2,10,2,kozmetik & kişisel bakım
TERM_0b43a8c4,biorichi çay ağacı kremi,0.7,0.5,0.5,2,10,4,kozmetik & kişisel bakım
TERM_772e981c,kırpık uzatıcı serum,0.7,0.5,0.5,2,10,3,kozmetik & kişisel bakım
TERM_4e736d9a,songmics,0.7,0.5,0.5,2,10,1,ev & mobilya
TERM_5f56e397,dekatlon,0.7,0.5,0.5,2,10,1,giyim
TERM_7290ab86,hm çocuk ayakkabı,0.7,0.5,0.5,8,40,3,ayakkabı
TERM_5d004131,bilgisayar ram,0.7,0.5,0.5,2,10,2,elektronik
